"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "TypeScript JSX", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\.eslintrc.cjs", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 9, 28
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\package-lock.json", "JSON", 7019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7020
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\package.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 198, 0, 0, 0, 4, 7, 209
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\CheckAuthentication.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\Confirm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 135, 0, 0, 0, 6, 11, 152
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\CustomBackdrop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\CustomNavLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 4, 24
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\CustomPagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 4, 62
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\DropdownSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\ExpandMore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 312, 0, 0, 0, 6, 18, 336
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\HoverEffect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 2, 30
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\ItemList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 11, 7, 98
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\LeftSideList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 160, 0, 0, 0, 16, 10, 186
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 3, 5, 70
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\PaymentForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 150, 0, 0, 0, 4, 12, 166
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\PersonalInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 274, 0, 0, 0, 16, 13, 303
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\RequireAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\Sach.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 207, 0, 0, 0, 0, 7, 214
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\SignIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 224, 0, 0, 0, 2, 11, 237
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\SignUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 226, 0, 0, 0, 11, 11, 248
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\components\StripeContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\hooks\useAxiosPrivate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\hooks\useCookie.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\hooks\useLocalStorage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
